"spid","treatment","sc_pos","hit_count"
"1208990391","3612 E01",1,6
"1210314435","3360 B12",1,6
"1208990396","3612 B02",1,5
"1208990399","3612 E02",1,5
"1208990415","3612 E04",1,5
"1210313685","3361 D02",1,5
"1210314416","3360 G09",1,5
"1210314428","3360 C11",1,5
"1210314431","3360 F11",1,5
"1210314361","3360 H02",1,4
"1210313690","3361 A03",1,3
"1210313710","3361 E05",1,3
"1210314365","3360 D03",1,3
"1210314371","3360 B04",1,3
"1210314401","3360 H07",1,3
"1210314437","3360 D12",1,3
"Bisphenol","Bisphenol",1,3
"1208990392","3612 F01",1,2
"1208990406","3612 D03",1,2
"1208990420","3612 B05",1,2
"1210313689","3361 H02",1,2
"1210314424","3360 G10",1,2
"1208990393","3612 G01",1,1
"1208990405","3612 C03",1,1
"1208990407","3612 E03",1,1
"1210313679","3361 F01",1,1
"1210313694","3361 E03",1,1
"1210313696","3361 G03",1,1
"1210314349","3360 D01",1,1
"1210314359","3360 F02",1,1
"1210314363","3360 B03",1,1
"1210314370","3360 A04",1,1
"1210314382","3360 E05",1,1
"1210314394","3360 A07",1,1
"1210314397","3360 D07",1,1
"1210314399","3360 F07",1,1
"1210314423","3360 F10",1,1
"1210314426","3360 A11",1,1
"1208990388","3612 B01",0,0
"1208990390","3612 D01",0,0
"1208990397","3612 C02",0,0
"1208990398","3612 D02",0,0
"1208990400","3612 F02",0,0
"1208990403","3612 A03",0,0
"1208990404","3612 B03",0,0
"1208990411","3612 A04",0,0
"1208990413","3612 C04",0,0
"1208990416","3612 F04",0,0
"1208990419","3612 A05",0,0
"1208990422","3612 D05",0,0
"1210309389","3360 A01",0,0
"1210313674","3361 A01",0,0
"1210313675","3361 B01",0,0
"1210313676","3361 C01",0,0
"1210313677","3361 D01",0,0
"1210313678","3361 E01",0,0
"1210313680","3361 G01",0,0
"1210313681","3361 H01",0,0
"1210313682","3361 A02",0,0
"1210313683","3361 B02",0,0
"1210313684","3361 C02",0,0
"1210313686","3361 E02",0,0
"1210313687","3361 F02",0,0
"1210313691","3361 B03",0,0
"1210313695","3361 F03",0,0
"1210313697","3361 H03",0,0
"1210313698","3361 A04",0,0
"1210313699","3361 B04",0,0
"1210313700","3361 C04",0,0
"1210313701","3361 D04",0,0
"1210313703","3361 F04",0,0
"1210313704","3361 G04",0,0
"1210313705","3361 H04",0,0
"1210313706","3361 A05",0,0
"1210313707","3361 B05",0,0
"1210313708","3361 C05",0,0
"1210313709","3361 D05",0,0
"1210313711","3361 F05",0,0
"1210314347","3360 B01",0,0
"1210314348","3360 C01",0,0
"1210314350","3360 E01",0,0
"1210314351","3360 F01",0,0
"1210314352","3360 G01",0,0
"1210314353","3360 H01",0,0
"1210314354","3360 A02",0,0
"1210314355","3360 B02",0,0
"1210314357","3360 D02",0,0
"1210314358","3360 E02",0,0
"1210314362","3360 A03",0,0
"1210314364","3360 C03",0,0
"1210314366","3360 E03",0,0
"1210314367","3360 F03",0,0
"1210314369","3360 H03",0,0
"1210314372","3360 C04",0,0
"1210314373","3360 D04",0,0
"1210314374","3360 E04",0,0
"1210314376","3360 G04",0,0
"1210314378","3360 A05",0,0
"1210314379","3360 B05",0,0
"1210314380","3360 C05",0,0
"1210314381","3360 D05",0,0
"1210314383","3360 F05",0,0
"1210314385","3360 H05",0,0
"1210314387","3360 B06",0,0
"1210314388","3360 C06",0,0
"1210314389","3360 D06",0,0
"1210314391","3360 F06",0,0
"1210314392","3360 G06",0,0
"1210314393","3360 H06",0,0
"1210314395","3360 B07",0,0
"1210314396","3360 C07",0,0
"1210314400","3360 G07",0,0
"1210314402","3360 A08",0,0
"1210314405","3360 D08",0,0
"1210314406","3360 E08",0,0
"1210314407","3360 F08",0,0
"1210314408","3360 G08",0,0
"1210314409","3360 H08",0,0
"1210314411","3360 B09",0,0
"1210314413","3360 D09",0,0
"1210314414","3360 E09",0,0
"1210314417","3360 H09",0,0
"1210314418","3360 A10",0,0
"1210314420","3360 C10",0,0
"1210314425","3360 H10",0,0
"1210314429","3360 D11",0,0
"1210314430","3360 E11",0,0
"1210314436","3360 C12",0,0
"1210314438","3360 E12",0,0
"1210314439","3360 F12",0,0
"1210314440","3360 G12",0,0
"1210314441","3360 H12",0,0
"DMSO","DMSO",0,0
"Media","Media",0,0
